DrugID	Drug_Target
CHEMBL504760	57121
CHEMBL504760	259289
CHEMBL504760	3350
CHEMBL504760	100462981
CHEMBL504760	162514
CHEMBL504760	196883
CHEMBL504760	112
CHEMBL504760	9628
CHEMBL504760	5726
CHEMBL504760	259293
CHEMBL504760	3579
CHEMBL504760	259286
CHEMBL504760	1268
CHEMBL504760	108
CHEMBL504760	2914
CHEMBL504760	2833
CHEMBL504760	186
CHEMBL504760	23566
CHEMBL504760	3351
CHEMBL504760	2773
CHEMBL504760	2832
CHEMBL504760	4886
CHEMBL504760	57413
CHEMBL504760	11255
CHEMBL504760	6001
CHEMBL504760	64407
CHEMBL504760	5996
CHEMBL504760	1814
CHEMBL504760	338442
CHEMBL504760	183
CHEMBL504760	6000
CHEMBL504760	2913
